Geography,Name,Level,Poverty_Rate_2017
NYC,New York City,City,18.0%
BX,The Bronx,Boro,28.0%
BK,Brooklyn,Boro,19.8%
MN,Manhattan,Boro,16.2%
QN,Queens,Boro,12.1%
SI,Staten Island,Boro,11.8%
BX 01,Mott Haven/Melrose,Community District,44.2%
BX 02,Hunts Point/Longwood,Community District,44.2%
BX 03,Morrisania/Crotona,Community District,35.8%
BX 04,Highbridge/Concourse,Community District,36.4%
BX 05,Fordham/University Heights,Community District,36.4%
BX 06,Belmont/East Tremont,Community District,35.8%
BX 07,Kingsbridge Heights/Bedford,Community District,32.9%
BX 08,Riverdale/Fieldston,Community District,18.5%
BX 09,Parkchester/Soundview,Community District,24.7%
BX 10,Throgs Neck/Co-op City,Community District,10.2%
BX 11,Morris Park/Bronxdale,Community District,16.4%
BX 12,Williamsbridge/Baychester,Community District,14.6%
BK 01,Greenpoint/Williamsburg,Community District,23.3%
BK 02,Fort Greene/Brooklyn Heights,Community District,14.9%
BK 03,Bedford Stuyvesant,Community District,24.4%
BK 04,Bushwick,Community District,27.1%
BK 05,East New York/Starrett City,Community District,24.7%
BK 06,Park Slope/Carroll Gardens,Community District,7.8%
BK 07,Sunset Park,Community District,22.1%
BK 08,Crown Heights/Prospect Heights,Community District,20.0%
BK 09,South Crown Heights/Lefferts Gardens,Community District,19.1%
BK 10,Bay Ridge/Dyker Heights,Community District,15.2%
BK 11,Bensonhurst,Community District,17.3%
BK 12,Borough Park,Community District,30.8%
BK 13,Coney Island,Community District,24.8%
BK 14,Flatbush/Midwood,Community District,16.8%
BK 15,Sheepshead Bay,Community District,14.0%
BK 16,Brownsville,Community District,39.9%
BK 17,East Flatbush,Community District,13.7%
BK 18,Flatlands/Canarsie,Community District,8.9%
MN 01,Financial District,Community District,8.8%
MN 02,Greenwich Village/Soho,Community District,8.8%
MN 03,Lower East Side/Chinatown,Community District,27.3%
MN 04,Clinton/Chelsea,Community District,13.8%
MN 05,Midtown,Community District,13.8%
MN 06,Stuyvesant Town/Turtle Bay,Community District,8.0%
MN 07,Upper West Side,Community District,9.9%
MN 08,Upper East Side,Community District,6.1%
MN 09,Morningside Heights/Hamilton,Community District,22.7%
MN 10,Central Harlem,Community District,23.5%
MN 11,East Harlem,Community District,31.5%
MN 12,Washington Heights/Inwood,Community District,18.7%
QN 01,Astoria,Community District,13.0%
QN 02,Woodside/Sunnyside,Community District,9.3%
QN 03,Jackson Heights,Community District,13.5%
QN 04,Elmhurst/Corona,Community District,15.6%
QN 05,Ridgewood/Maspeth,Community District,8.4%
QN 06,Rego Park/Forest Hills,Community District,8.1%
QN 07,Flushing/Whitestone,Community District,16.2%
QN 08,Hillcrest/Fresh Meadows,Community District,12.3%
QN 09,Kew Gardens/Woodhaven,Community District,12.2%
QN 10,South Ozone Park/Howard Beach,Community District,10.4%
QN 11,Bayside/Little Neck,Community District,9.8%
QN 12,Jamaica/Hollis,Community District,11.3%
QN 13,Queens Village,Community District,8.9%
QN 14,Rockaway/Broad Channel,Community District,19.8%
SI 01,St. George/Stapleton,Community District,17.9%
SI 02,South Beach/Willowbrook,Community District,10.2%
SI 03,Tottenville/Great Kills,Community District,6.6%
