country,points,price,value
Canada,92,30.0,3.066666666666667
Canada,83,12.0,6.916666666666667
Croatia,88,20.0,4.4
Croatia,88,27.0,3.259259259259259
Canada,92,32.0,2.875
Canada,91,38.0,2.3947368421052633
Canada,87,24.0,3.625
Canada,90,23.0,3.9130434782608696
Canada,91,80.0,1.1375
Canada,89,20.0,4.45
Canada,87,49.0,1.7755102040816326
Canada,88,20.0,4.4
Canada,92,20.0,4.6
Canada,92,25.0,3.68
Canada,87,16.0,5.4375
Canada,87,28.0,3.107142857142857
Canada,92,30.0,3.066666666666667
Canada,92,35.0,2.6285714285714286
Canada,94,60.0,1.5666666666666667
Canada,87,20.0,4.35
Canada,92,70.0,1.3142857142857143
Canada,92,77.0,1.1948051948051948
Croatia,88,24.0,3.6666666666666665
Croatia,83,21.0,3.9523809523809526
Canada,91,60.0,1.5166666666666666
Croatia,88,19.0,4.631578947368421
Canada,84,28.0,3.0
Canada,92,60.0,1.5333333333333334
Canada,92,65.0,1.4153846153846155
Canada,91,35.0,2.6
Canada,90,70.0,1.2857142857142858
Canada,90,70.0,1.2857142857142858
Canada,90,20.0,4.5
Canada,90,30.0,3.0
Canada,90,20.0,4.5
Canada,90,50.0,1.8
Canada,88,25.0,3.52
Canada,91,120.0,0.7583333333333333
Canada,91,50.0,1.82
Croatia,88,27.0,3.259259259259259
Croatia,87,16.0,5.4375
Canada,90,34.0,2.6470588235294117
Canada,91,32.0,2.84375
Canada,82,22.0,3.727272727272727
Croatia,90,41.0,2.1951219512195124
Canada,91,36.0,2.5277777777777777
Canada,88,15.0,5.866666666666666
Canada,90,23.0,3.9130434782608696
Croatia,90,17.0,5.294117647058823
Croatia,90,18.0,5.0
Croatia,85,35.0,2.4285714285714284
Croatia,88,20.0,4.4
Canada,92,25.0,3.68
Canada,86,18.0,4.777777777777778
Croatia,87,19.0,4.578947368421052
Croatia,87,13.0,6.6923076923076925
Croatia,87,13.0,6.6923076923076925
Croatia,89,28.0,3.1785714285714284
Canada,88,25.0,3.52
Canada,89,35.0,2.5428571428571427
Croatia,87,20.0,4.35
Canada,89,35.0,2.5428571428571427
Canada,89,20.0,4.45
Canada,90,30.0,3.0
Canada,86,28.0,3.0714285714285716
Canada,86,45.0,1.9111111111111112
Canada,88,20.0,4.4
Canada,88,24.0,3.6666666666666665
Croatia,89,65.0,1.3692307692307693
Canada,91,20.0,4.55
Canada,91,33.0,2.757575757575758
Canada,85,25.0,3.4
Croatia,87,20.0,4.35
Canada,88,50.0,1.76
Croatia,90,57.0,1.5789473684210527
Croatia,90,21.0,4.285714285714286
Canada,91,35.0,2.6
Croatia,86,25.0,3.44
Croatia,87,24.0,3.625
Canada,89,75.0,1.1866666666666668
Croatia,89,45.0,1.9777777777777779
Croatia,88,19.0,4.631578947368421
Canada,94,40.0,2.35
Canada,88,50.0,1.76
Canada,87,25.0,3.48
Croatia,82,65.0,1.2615384615384615
Canada,86,30.0,2.8666666666666667
Canada,93,45.0,2.066666666666667
Canada,83,18.0,4.611111111111111
Canada,93,25.0,3.72
Canada,93,80.0,1.1625
Croatia,89,20.0,4.45
Canada,90,38.0,2.3684210526315788
Croatia,84,16.0,5.25
Canada,83,18.0,4.611111111111111
Canada,90,19.0,4.7368421052631575
Canada,92,65.0,1.4153846153846155
Canada,92,60.0,1.5333333333333334
Canada,92,85.0,1.0823529411764705
Canada,90,30.0,3.0
Canada,90,25.0,3.6
Canada,94,45.0,2.088888888888889
Canada,89,35.0,2.5428571428571427
Croatia,88,20.0,4.4
Canada,87,28.0,3.107142857142857
Croatia,87,22.0,3.9545454545454546
Canada,84,22.0,3.8181818181818183
Croatia,90,25.0,3.6
Canada,85,18.0,4.722222222222222
Canada,87,33.0,2.6363636363636362
Canada,87,18.0,4.833333333333333
Croatia,87,27.0,3.2222222222222223
Canada,87,40.0,2.175
Canada,91,32.0,2.84375
Canada,90,45.0,2.0
Croatia,89,28.0,3.1785714285714284
Canada,88,12.0,7.333333333333333
Canada,87,17.0,5.117647058823529
Canada,87,30.0,2.9
Canada,88,40.0,2.2
Croatia,84,13.0,6.461538461538462
Croatia,84,13.0,6.461538461538462
Croatia,84,13.0,6.461538461538462
Canada,88,24.0,3.6666666666666665
Croatia,90,38.0,2.3684210526315788
Canada,89,40.0,2.225
Canada,86,23.0,3.739130434782609
Canada,92,25.0,3.68
Canada,92,32.0,2.875
Canada,92,32.0,2.875
Canada,88,32.0,2.75
Canada,88,40.0,2.2
Croatia,87,16.0,5.4375
Canada,89,20.0,4.45
Canada,93,18.0,5.166666666666667
Croatia,84,13.0,6.461538461538462
Canada,88,20.0,4.4
Croatia,88,27.0,3.259259259259259
Canada,89,16.0,5.5625
Canada,89,40.0,2.225
Canada,91,60.0,1.5166666666666666
Croatia,83,19.0,4.368421052631579
Croatia,88,13.0,6.769230769230769
Canada,87,30.0,2.9
Canada,90,26.0,3.4615384615384617
Canada,88,18.0,4.888888888888889
Canada,85,20.0,4.25
Croatia,91,33.0,2.757575757575758
Canada,91,70.0,1.3
Canada,85,50.0,1.7
Croatia,88,25.0,3.52
Canada,91,34.0,2.676470588235294
Canada,91,36.0,2.5277777777777777
Canada,88,45.0,1.9555555555555555
Canada,86,20.0,4.3
Canada,89,30.0,2.966666666666667
Canada,88,16.0,5.5
