,borough_and_district_#,%_asian,%_black,%_hispanic,%_white,%_poverty,#_total_students,%_students_in_temporary_housing,#_students_residing_in_shelter,borough,enrollment,rigorous_instruction_-_%_positive,collaborative_teachers_-_%_positive,supportive_environment_-_%_positive,effective_school_leadership_-_%_positive,strong_family-community_ties_-_%_positive,trust_-_%_positive,average_incoming_ela_proficiency_(based_on_4th_grade),average_incoming_math_proficiency_(based_on_4th_grade),%_english_language_learners,%_students_with_disabilities,economic_need_index,%_hra_eligible,%_of_students_chronically_absent,%_minority
0,Bronx 07,1.1,26.6,69.87,1.42,91.76,458.76,18.0,34.31,Bronx,415.74074074074076,80.15,82.19,74.7,84.89,88.89,87.67,240.5,237.1,19.32,26.71,88.79,72.15,33.05,96.47
1,Bronx 08,5.04,24.28,64.12,5.17,81.42,508.66,14.73,31.05,Bronx,518.918918918919,78.81,82.14,75.84,82.22,87.19,87.54,254.13,249.31,14.33,26.26,76.42,60.84,32.56,88.4
2,Bronx 09,1.5,28.6,67.84,1.24,90.82,515.24,21.07,43.58,Bronx,479.4423076923077,79.35,82.54,75.19,83.92,88.1,88.08,240.58,234.5,24.39,23.99,87.59,70.51,30.81,96.44
3,Bronx 10,4.41,17.52,72.22,4.41,85.26,644.69,18.66,28.36,Bronx,632.9137931034483,81.95,84.97,77.86,86.43,89.29,89.91,248.11,251.37,22.87,22.48,81.74,63.9,25.16,89.74
4,Bronx 11,6.76,40.91,42.18,8.06,78.04,643.3,11.88,25.68,Bronx,653.0697674418604,80.23,84.09,77.28,85.16,88.86,87.98,253.2,248.0,9.78,21.48,64.25,49.76,26.14,83.09
5,Bronx 12,2.3,26.61,68.44,1.35,90.7,462.36,18.66,41.06,Bronx,448.25,76.89,77.72,72.39,79.97,87.86,85.47,240.0,232.47,18.21,25.15,87.06,70.29,33.14,95.05
6,Brooklyn 13,6.81,61.34,20.14,8.96,75.43,491.4,10.53,14.82,Brooklyn,330.14814814814815,82.3,85.56,79.19,87.41,92.44,88.89,252.25,238.0,7.41,25.05,69.44,55.25,33.24,81.48
7,Brooklyn 14,3.76,22.68,60.15,11.68,73.81,471.34,11.78,16.44,Brooklyn,416.85185185185185,86.7,92.26,84.41,92.67,92.67,93.33,266.25,260.0,13.32,25.7,71.56,55.65,25.82,82.83
8,Brooklyn 15,12.1,19.45,37.77,27.44,57.7,654.96,5.71,8.77,Brooklyn,654.9722222222222,82.47,86.47,82.47,87.03,91.94,90.61,289.75,290.17,15.02,22.8,47.89,34.59,15.11,57.22
9,Brooklyn 16,2.04,74.45,19.45,2.36,85.48,265.81,17.63,25.04,Brooklyn,227.26315789473685,85.37,89.37,82.21,90.05,92.89,91.11,250.0,240.6,6.73,28.91,82.34,66.13,36.59,93.9
10,Brooklyn 17,2.84,76.37,15.52,2.93,83.23,450.79,14.52,24.94,Brooklyn,381.0,84.64,86.86,78.89,88.67,89.75,89.97,263.64,256.21,10.04,22.22,70.86,54.43,26.69,91.89
11,Brooklyn 18,1.43,86.59,8.04,2.4,79.7,444.7,10.08,18.19,Brooklyn,493.6190476190476,82.19,86.57,74.86,87.14,89.48,88.43,246.5,230.62,6.78,20.6,60.63,46.05,22.97,94.63
12,Brooklyn 19,5.66,49.28,41.63,1.72,87.72,458.37,15.21,30.73,Brooklyn,428.1621621621622,81.0,85.46,77.78,86.51,89.65,88.78,248.47,240.87,12.69,23.14,79.75,63.86,32.45,90.91
13,Brooklyn 20,43.17,2.63,26.36,26.87,74.51,1188.77,5.28,2.77,Brooklyn,945.6153846153846,84.28,88.46,83.77,89.31,90.28,91.54,294.75,315.63,27.18,15.43,60.61,44.64,10.59,28.99
14,Brooklyn 21,23.03,16.55,27.9,30.95,73.41,872.23,6.45,7.82,Brooklyn,740.8333333333334,82.8,87.8,80.77,88.5,88.67,89.87,297.25,309.25,20.84,19.54,63.78,50.91,21.09,44.45
15,Brooklyn 22,15.87,38.34,16.29,27.47,70.12,840.16,8.3,10.95,Brooklyn,728.0645161290323,81.74,86.94,80.35,86.84,91.45,90.55,277.33,273.17,13.98,19.75,54.62,41.85,17.65,54.63
