,neighborhood,rent_burdened,borough,low_rent,high_rent
0,BK72 Williamsburg.2,66.4,Brooklyn,47.0,14.8
1,BK73 North Side-South Side.2,52.3,Brooklyn,27.4,43.4
2,BK76 Greenpoint.2,45.099999999999994,Brooklyn,19.6,41.9
3,BK90 East Williamsburg.2,47.4,Brooklyn,29.2,34.3
4,BK09 Brooklyn Heights-Cobble Hill.2,33.6,Brooklyn,11.7,64.6
5,BK38 DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill.2,40.400000000000006,Brooklyn,33.2,43.6
6,BK68 Fort Greene.2,44.7,Brooklyn,34.7,37.4
7,BK69 Clinton Hill.2,47.5,Brooklyn,20.7,42.5
8,BK35 Stuyvesant Heights.2,55.5,Brooklyn,36.3,15.4
9,BK75 Bedford.2,56.6,Brooklyn,35.0,21.4
10,BK77 Bushwick North.2,61.400000000000006,Brooklyn,23.9,23.3
11,BK78 Bushwick South.2,57.8,Brooklyn,32.8,23.6
12,BK99 park-cemetery-etc-Brooklyn.2,51.0,Brooklyn,0.0,69.9
13,BK82 East New York.2,57.7,Brooklyn,36.9,14.1
14,BK83 Cypress Hills-City Line.2,65.2,Brooklyn,19.3,24.4
15,BK93 Starrett City.2,49.7,Brooklyn,51.39999999999999,5.7
16,BK33 Carroll Gardens-Columbia Street-Red Hook.2,41.2,Brooklyn,23.4,50.7
17,BK37 Park Slope-Gowanus.2,40.2,Brooklyn,11.399999999999999,63.3
18,BK32 Sunset Park West.2,57.4,Brooklyn,21.8,24.8
19,BK34 Sunset Park East.2,62.7,Brooklyn,26.6,18.9
20,BK40 Windsor Terrace.2,38.6,Brooklyn,18.0,43.3
21,BK61 Crown Heights North.2,54.599999999999994,Brooklyn,36.7,15.4
22,BK64 Prospect Heights.2,41.9,Brooklyn,14.899999999999999,52.9
23,BK60 Prospect Lefferts Gardens-Wingate.2,59.0,Brooklyn,33.8,11.0
24,BK63 Crown Heights South.2,57.8,Brooklyn,33.3,12.6
25,BK30 Dyker Heights.2,54.8,Brooklyn,21.1,23.1
26,BK31 Bay Ridge.2,50.599999999999994,Brooklyn,18.6,26.0
27,BK27 Bath Beach.2,54.2,Brooklyn,29.9,16.4
28,BK28 Bensonhurst West.2,57.5,Brooklyn,28.1,13.1
29,BK29 Bensonhurst East.2,56.5,Brooklyn,28.2,10.6
30,BK41 Kensington-Ocean Parkway.2,61.4,Brooklyn,22.3,24.4
31,BK46 Ocean Parkway South.2,63.8,Brooklyn,19.299999999999997,29.2
